citation_key,title,year,topic_group,dataset,models,method,main_finding,limitation,how_it_supports_this_paper,where_to_cite,relevance_score_1_to_5
ramaswamy2023geode,GeoDE: A Geographically Diverse Evaluation Dataset for Object Recognition,2023,GeoDE and geographically diverse object recognition,GeoDE,object recognition models,dataset construction and evaluation,Introduces GeoDE as a geographically diverse object-recognition evaluation dataset,Dataset-specific local statistics must be audited separately,Core dataset motivation and direct support for region-level evaluation,Datasets; Related Work; Methodology,5
rojas2022dollarstreet,The Dollar Street Dataset: Images Representing the Geographic and Socioeconomic Diversity of the World,2022,Dollar Street and socioeconomic/geographic visual diversity,Dollar Street,object recognition models,dataset construction and benchmark experiments,Introduces Dollar Street as a household-object dataset with geographic and socioeconomic diversity,Local subset statistics must be audited separately,Supports dataset choice and socioeconomic/geographic diversity motivation,Datasets; Related Work,5
devries2019object,Does Object Recognition Work for Everyone?,2019,Geographic and regional bias in computer vision,Dollar Street,commercial services and ResNet-family models,empirical evaluation across countries and income,Reports object-recognition disparities across countries and income contexts on Dollar Street,Different models and setup from this paper,Closest prior motivation for regional/socioeconomic object-recognition disparity,Introduction; Related Work; Discussion,5
shankar2017geodiversity,No Classification without Representation,2017,Geodiversity in visual datasets,Open image datasets,image classifiers,geodiversity audit and classifier evaluation,Finds amerocentric/eurocentric representation bias and locale-linked performance differences,Older and not specific to GeoDE/Dollar Street,Supports why geographic representation matters before model deployment,Introduction; Related Work; Discussion,5
kalluri2023geonet,GeoNet: Benchmarking Unsupervised Adaptation across Geographies,2023,Geographic robustness and adaptation,GeoPlaces; GeoImNet; GeoUniDA,vision models and adaptation methods,geographic adaptation benchmark,Identifies geographic shifts including context shift design shift and prior shift,Studies adaptation not this paper's finetune/pretrained comparison,Supports possible explanations for regional accuracy differences,Related Work; Discussion,5
torralba2011datasetbias,Unbiased Look at Dataset Bias,2011,Dataset bias in object recognition,multiple recognition datasets,generic classifiers,cross-dataset evaluation,Shows dataset-specific biases can affect recognition generalization,Older pre-foundation-model era,Frames why dataset source and collection process matter,Related Work,4
wang2022revise,REVISE: A Tool for Measuring and Mitigating Bias in Visual Datasets,2022,Dataset bias and geography-aware auditing,visual datasets,generic,dataset auditing tool,Provides tools for surfacing object person and geography-related visual dataset biases,Tool is not this paper's metric pipeline,Supports geography-aware dataset auditing and limitation language,Related Work; Limitations,4
deng2009imagenet,ImageNet: A Large-Scale Hierarchical Image Database,2009,ImageNet bias and dataset representation,ImageNet,ImageNet classifiers,dataset construction,Introduces ImageNet as a large-scale object-recognition dataset,Does not address regional fairness directly,Background for pretrained ImageNet setting,Datasets; Experiments,4
yang2020fairerimagenet,Towards Fairer Datasets,2020,ImageNet bias and dataset representation,ImageNet,downstream vision models,dataset filtering and balancing analysis,Shows ImageNet taxonomy/representation issues can create problematic downstream behavior,People subtree focus differs from object-region focus,Supports caution that ImageNet is not a neutral universal reference,Related Work; Discussion,4
luccioni2022bugs,Bugs in the Data,2022,ImageNet bias and dataset representation,ImageNet,wildlife classifiers,dataset audit,Finds label geographic and cultural issues in ImageNet wildlife classes,Biodiversity focus not household-object recognition,Supports ImageNet-data caution and representation-bias framing,Related Work; Limitations,4
recht2019imagenet,Do ImageNet Classifiers Generalize to ImageNet?,2019,Evaluation beyond aggregate accuracy,ImageNet and replicated test sets,ImageNet classifiers,replicated test-set evaluation,Shows accuracy drops on newly collected ImageNet-like test sets,Does not evaluate regional groups,Supports benchmark generalization caution,Related Work; Discussion,4
taori2020naturalshifts,Measuring Robustness to Natural Distribution Shifts in Image Classification,2020,Domain shift and OOD generalization,ImageNet shift datasets,ImageNet classifiers,natural-shift benchmark,Shows natural image distribution shifts remain challenging for image classifiers,Shift types differ from regional shifts,Supports regional evaluation as a natural-shift-like robustness concern,Related Work; Discussion,4
koh2021wilds,WILDS: A Benchmark of in-the-Wild Distribution Shifts,2021,Domain shift and OOD generalization,multiple real-world shift datasets,multiple models,benchmark suite,Shows real-world distribution shifts can reduce OOD performance and need standardized evaluation,Broad benchmark not specific to household objects,Supports real-world shift framing and subgroup metric reporting,Related Work; Methodology,4
gulrajani2021domainbed,In Search of Lost Domain Generalization,2021,Domain generalization in computer vision,domain generalization benchmarks,multiple algorithms,benchmark study,Shows protocol and model-selection choices matter in domain generalization,Does not study regional object-recognition bias,Supports caution against overclaiming from descriptive comparisons,Methodology; Related Work,4
sagawa2020groupdro,Distributionally Robust Neural Networks for Group Shifts,2020,Worst-group accuracy and group robustness,group-labeled datasets,neural networks,group DRO,Frames worst-group generalization under group shifts,Training objective differs from this paper's metric-only analysis,Supports worst-region accuracy and region gap as complements to average accuracy,Problem Definition; Related Work,4
idrissi2021databalancing,Simple Data Balancing Achieves Competitive Worst-Group-Accuracy,2021,Worst-group accuracy and group robustness,worst-group benchmarks,classifiers,data balancing study,Shows group/class balance can strongly affect worst-group accuracy,Not regional and not this paper's training setup,Supports caution around regional imbalance and model-selection effects,Discussion; Limitations,4
sohoni2020hiddenstratification,No Subclass Left Behind,2020,Worst-group accuracy and hidden stratification,image classification datasets,deep classifiers,hidden stratification measurement/mitigation,Shows coarse labels can hide large subclass performance variation,Mostly medical/benchmark settings,Supports why object-level averages can hide regional subpopulation failures,Problem Definition; Discussion,4
gustafson2023facet,FACET: Fairness in Computer Vision Evaluation Benchmark,2023,Fairness metrics for vision models,FACET,multiple vision models,fairness benchmark,Shows common vision tasks can exhibit performance disparities across demographic attributes,Demographic rather than geographic attributes,Supports evaluation beyond aggregate accuracy and fairness benchmark context,Related Work; Limitations,4
radford2021clip,Learning Transferable Visual Models From Natural Language Supervision,2021,Vision-language model context,broad image-text pretraining,CLIP,contrastive language-image pretraining,Introduces CLIP and transferable language-image supervision,Not a regional-bias paper,Supports model-family description only,Models; Related Work,4
fang2022cliprobustness,Data Determines Distributional Robustness in CLIP,2022,CLIP robustness and dataset coverage,ImageNet shifts and image-text data,CLIP-like models,controlled robustness experiments,Finds CLIP-like robustness is strongly tied to pretraining data distribution,Does not directly test GeoDE or Dollar Street,Supports cautious discussion of VLM robustness and data coverage,Discussion; Related Work,4
geirhos2018texturebias,ImageNet-trained CNNs are Biased Towards Texture,2018,CNN vs transformer robustness; context/texture bias,ImageNet; Stylized-ImageNet,CNNs,texture-shape cue-conflict evaluation,Shows ImageNet-trained CNNs can rely strongly on texture and that shape bias can improve robustness,Focused on texture/shape not regions,Supports possible appearance/context explanations for regional gaps,Discussion; Related Work,4
geirhos2020shortcut,Shortcut Learning in Deep Neural Networks,2020,Spurious correlations and background/context bias,multiple,multiple,perspective and synthesis,Frames shortcuts as benchmark-success rules that fail under harder conditions,Broad perspective not regional-specific,Supports cautious discussion of context/design shortcuts,Discussion; Related Work,4
lapuschkin2019cleverhans,Unmasking Clever Hans Predictors,2019,Spurious correlations and background/context bias,vision tasks and games,deep neural networks,explanation-based audit,Shows high accuracy can mask reliance on unintended cues,Does not evaluate geographic regions,Supports argument that aggregate accuracy can hide fragile decision rules,Discussion; Related Work,4
zhai2023siglip,Sigmoid Loss for Language Image Pre-Training,2023,Vision-language model context,image-text data,SigLIP,model paper,Introduces SigLIP objective,Not a regional robustness paper,Use only for model description,Models,3
oquab2024dinov2,DINOv2: Learning Robust Visual Features without Supervision,2024,Self-supervised visual representation learning,curated image data,DINOv2,model paper,Introduces DINOv2 self-supervised visual features,Robustness claims should not be overextended to regional bias,Use only for model-family context,Models,3
he2022mae,Masked Autoencoders Are Scalable Vision Learners,2022,Self-supervised visual representation learning,ImageNet,MAE,model paper,Introduces MAE masked image modeling,Not regional-bias evidence,Use only for model-family context,Models,3
kang2019decoupling,Decoupling Representation and Classifier for Long-Tailed Recognition,2019,Long-tail class imbalance and regional imbalance,ImageNet-LT; Places-LT; iNaturalist,classification models,long-tail recognition study,Shows classifier/representation decoupling matters in imbalanced recognition,Not regional and not directly evaluated here,Background for classifier-head and imbalance caveats,Discussion; Limitations,3
cui2019classbalanced,Class-Balanced Loss Based on Effective Number of Samples,2019,Long-tail class imbalance and regional imbalance,long-tailed datasets,classification models,class-balanced loss,Provides a reweighting view of class imbalance,Not regional and not used in experiments,Background only if discussing imbalance mitigation,Limitations,3
barbu2019objectnet,ObjectNet,2019,Benchmark design for fairness and robustness,ObjectNet,object recognition models,bias-controlled benchmark,Introduces a bias-controlled object-recognition benchmark,Not geographic or socioeconomic,Supports evaluation beyond conventional benchmarks,Related Work,3
northcutt2021labelerrors,Pervasive Label Errors in Test Sets Destabilize Machine Learning Benchmarks,2021,Evaluation methodology beyond aggregate accuracy,common test sets,classification models,label-error audit,Shows test-set label errors can affect benchmark conclusions,Not regional or model-family specific,Background for benchmark caution and dataset-audit limitations,Limitations,3
beyer2020doneimagenet,Are we done with ImageNet?,2020,Evaluation methodology beyond aggregate accuracy,ImageNet,ImageNet classifiers,label reassessment,Shows ImageNet labels and benchmark saturation need careful interpretation,Not regional,Background for ImageNet caveats,Related Work; Limitations,3
hendrycks2019corruptions,Benchmarking Neural Network Robustness to Common Corruptions and Perturbations,2019,Benchmark design for fairness and robustness,ImageNet-C; ImageNet-P,neural network classifiers,corruption robustness benchmark,Introduces standardized robustness benchmarks for corruptions and perturbations,Regional robustness differs from corruption robustness,Background for benchmark design,Related Work,3
woo2023convnextv2,ConvNeXt V2: Co-designing and Scaling ConvNets with Masked Autoencoders,2023,CNN vs transformer robustness,ImageNet and downstream tasks,ConvNeXtV2,model paper,Introduces ConvNeXtV2,Architecture paper only,Use only for model identity,Models,3
liu2022swinv2,Swin Transformer V2: Scaling Up Capacity and Resolution,2022,CNN vs transformer robustness,ImageNet and dense prediction,SwinV2,model paper,Introduces SwinV2,Architecture paper only,Use only for model identity,Models,3
touvron2022deit3,DeiT III: Revenge of the ViT,2022,CNN vs transformer robustness,ImageNet,DeiT3,model paper,Introduces DeiT3,Architecture/training paper only,Use only for model identity,Models,3
tu2022maxvit,MaxViT,2022,CNN vs transformer robustness,ImageNet and downstream tasks,MaxViT,model paper,Introduces MaxViT,Architecture paper only,Use only for model identity,Models,3
he2016resnet,Deep Residual Learning for Image Recognition,2016,CNN vs transformer robustness,ImageNet and COCO,ResNet50,model paper,Introduces residual learning used by ResNet50,Architecture paper only,Use only for model identity,Models,3
